   80   80
    nn     x     y    ss   oprev dprev   odist     ddist     oarea     darea  tareadiff
    53    53     1   2.0   135   133     17965     50440     21245     19310      2335
    54    54     1   1.0   136   134     17605     50199     20465     20085      2330
    55    55     1   2.0   137   134     17230     50479     19685     20870      2335
    56    56     1   2.0    57   134     16743     50927     18910     21655      2345
    57    57     1   2.0    58    56     16243     51427     18120     22445      2345
    58    58     1   1.0    59   137     15868     51583     17330     23210      2320
    59    59     1   3.0    60    58     15368     52083     16540     24000      2320
    60    60     1   1.0    61    59     14868     52583     15750     24790      2320
    61    61     1   4.0    62    60     14243     53208     14960     25580      2320
    62    62     1   3.0    63    61     13368     54083     14170     26370      2320
    63    63     1   3.0    64    62     12618     54833     13380     27160      2320
    64    64     1   3.0    65    63     11868     55583     12590     27950      2320
    65    65     1   3.0    66   143     11118     56316     11800     28555      2135
    66    66     1   3.0    67    65     10368     57066     11010     29345      2135
    67    67     1   2.0    68   145      9743     57691     10220     30115      2115
    68    68     1   2.0    69    67      9243     58191      9430     30905      2115
    69    69     1   2.0    70    68      8743     58691      8640     31695      2115
    70    70     1   2.0    71    69      8243     59191      7850     32485      2115
    71    71     1   4.0    72    70      7493     59941      7060     33275      2115
    72    72     1   2.0    73    71      6743     60691      6270     34065      2115
    73    73     1   2.0   155    72      6243     61191      5480     34855      2115
    74    74     1   4.0   156    73      5648     61941      4700     35645      2125
    75    75     1   4.0    76    74      4875     62941      3950     36435      2165
    76    76     1   6.0    77    75      3625     64191      3160     37225      2165
    77    77     1   3.0    78   156      2500     64844      2370     35930        80
    78    78     1   4.0    79   156      1625     65656      1580     36715        75
    79    79     1   3.0    80   158       750     66215       790     37465        35
    80    80     1   3.0     0   158         0     66816         0     38250        30
    81     1     2   4.0    82    82     59268     64096     58665    -14230      6215
    82     2     2   4.0    83    83     58268     63096     57885    -13450      6215
    83     3     2   4.0   165   165     57268     62096     57105    -12670      6215
    84     4     2   4.0   165   165     56403     61231     56330    -11895      6215
    85     5     2   4.0   165   165     56062     60890     55555    -11120      6215
    86     6     2   5.0   247   247     55804     60632     54815    -10380      6215
    87     7     2   5.0    88   169     54883     60139     56270    -10245      7805
    88     8     2   4.0   170   170     53758     59017     55490     -9490      7780
    89     9     2   4.0   171   170     52897     58210     54720     -8715      7785
    90    10     2   5.0    91   171     51882     57652     54010     -7950      7840
    91    11     2   5.0    92   252     50632     57061     53230     -7180      7830
    92    12     2   4.0    93   173     49507     56392     52450     -6470      7760
    93    13     2   4.0    94   254     48507     55982     51670     -5700      7750
    94    14     2   3.0    95   255     47632     55562     50890     -4950      7720
    95    15     2   4.0    96   256     46757     55353     50110     -4300      7590
    96    16     2   5.0    97   176     45632     55242     49330     -3530      7580
    97    17     2   5.0    98   258     44382     54994     48550     -3000      7330
    98    18     2   4.0    99   178     43257     54475     47770     -2235      7315
    99    19     2   5.0   100   260     42132     54119     46990     -1610      7160
   100    20     2   6.0   101   101     40757     53327     46210     -1475      6515
   101    21     2   5.0   102   102     39382     51952     45430      -695      6515
   102    22     2   5.0   103   103     38132     50702     44650        85      6515
   103    23     2   4.0   185   185     37007     49577     43870       865      6515
   104    24     2   4.0   185   185     36164     48734     43095      1640      6515
   105    25     2   4.0   185   185     35786     48356     42320      2415      6515
   106    26     2   5.0   186   186     35856     48426     41555      3180      6515
   107    27     2   5.0   189   266     36030     48787     40880      3950      6610
   108    28     2   5.0   190   267     34923     49203     40115      4705      6600
   109    29     2   5.0   190   189     33880     49640     39340      5240      6360
   110    30     2   4.0   192   271     32767     49001     38595      5910      6285
   111    31     2   3.0   192   191     31902     48530     37820      6680      6280
   112    32     2   4.0   113   192     31142     48537     37225      7440      6445
   113    33     2   3.0   114   192     30267     48769     36445      8215      6440
   114    34     2   3.0   115   194     29517     49372     35665      8945      6390
   115    35     2   3.0   116   195     28767     49225     34885      8380      5045
   116    36     2   3.0   117   196     28017     49387     34105      9120      5005
   117    37     2   2.0   118   276     27392     49439     33325      9890      4995
   118    38     2   2.0   119   198     26892     49444     32545     10490      4815
   119    39     2   2.0   200   200     26392     49211     31765     11195      4740
   120    40     2   3.0   121   200     25831     49098     31030     11970      4780
   121    41     2   3.0   122   280     25081     49216     30250     12740      4770
   122    42     2   3.0   123   201     24331     49558     29470     13510      4760
   123    43     2   3.0   205   122     23581     50308     28690     14290      4760
   124    44     2   4.0   205   285     22980     50458     27915     13000      2695
   125    45     2   4.0   206   205     22480     50156     27145     13770      2695
   126    46     2   5.0   127   206     21956     50093     26560     14475      2815
   127    47     2   2.0    49   207     21081     49556     25780     15235      2795
   128    48     2   2.0    49   208     20685     49564     24995     15980      2755
   129    49     2   3.0   130   208     20222     49947     24155     16755      2690
   130    50     2   3.0   131   210     19472     49839     23375     17360      2515
   131    51     2   2.0   213   210     18847     49952     22595     18135      2510
   132    52     2   2.0   133   212     18360     49937     21830     18550      2160
   133    53     2   2.0   134   213     17860     49940     21050     19310      2140
   134    54     2   1.0   216   213     17485     49949     20270     20085      2135
   135    55     2   2.0   136   134     17127     50324     19675     20865      2320
   136    56     2   2.0   137   135     16627     50824     18895     21645      2320
   137    57     2   1.0    58   136     16252     51199     18115     22425      2320
   138    58     2   2.0   139   137     15960     51574     17315     23205      2300
   139    59     2   2.0    60   138     15460     52074     16535     23985      2300
   140    60     2   4.0   222   139     15240     52824     15695     24765      2240
   141    61     2   4.0   142    60     14405     53513     14930     25575      2285
   142    62     2   4.0   143    60     13405     54399     14150     26360      2290
   143    63     2   2.0    65   222     12655     54779     13370     26985      2135
   144    64     2   3.0   145   143     12030     55404     12570     27765      2115
   145    65     2   3.0    67   144     11280     56154     11790     28545      2115
   146    66     2   3.0    68   145     10640     56904     11000     29325      2105
   147    67     2   3.0    68   146     10126     57654     10215     30105      2100
   148    68     2   3.0    70   147      9500     58404      9420     30885      2085
   149    69     2   2.0    70    68      8965     58913      8635     31690      2105
   150    70     2   3.0   151    68      8390     59448      7830     32475      2085
   151    71     2   3.0    73   230      7640     59994      7050     31365       195
   152    72     2   3.0    73   311      7142     60502      6265     32105       150
   153    73     2   4.0   154   232      6302     61234      5470     32875       125
   154    74     2   4.0   155   232      5302     62195      4690     33650       120
   155    75     2   3.0   156    73      4427     63007      3910     36425      2115
   156    76     2   4.0   157   235      3552     63560      3130     35145        55
   157    77     2   4.0   158   235      2552     64419      2350     35920        50
   158    78     2   3.0    80   236      1677     65139      1570     36680        30
   159    79     2   3.0    80   158      1076     65889       785     37460        25
   160    80     2   4.0    80   159       875     66764         0     38240        20
   161     1     3   5.0   162   162     59518     64346     58580    -14145      6215
   162     2     3   6.0   244   244     58143     62971     57810    -13375      6215
   163     3     3   4.0   244   244     57021     61849     57045    -12610      6215
   164     4     3   4.0   165   165     56062     60890     56325    -11890      6215
   165     5     3   2.0   246   246     55312     60140     55555    -11120      6215
   166     6     3   4.0   247   247     54843     59671     54810    -10375      6215
   167     7     3   4.0   328   328     54375     59203     54050     -9615      6215
   168     8     3   4.0   169   169     53522     58764     55480     -9465      7795
   169     9     3   4.0   170   251     52522     57764     54710     -8695      7795
   170    10     3   4.0   171   252     51522     56781     53940     -7940      7780
   171    11     3   4.0   172   252     50522     56062     53170     -7175      7775
   172    12     3   4.0   173   333     49522     55668     52400     -6415      7765
   173    13     3   3.0   174   254     48647     55139     51630     -5695      7715
   174    14     3   4.0   175   335     47772     54716     50860     -4940      7700
   175    15     3   4.0   176   255     46772     54466     50090     -4180      7690
   176    16     3   4.0    98   256     45772     54117     49320     -3530      7570
   177    17     3   5.0   178   258     44651     53982     48425     -2995      7210
   178    18     3   5.0   179   339     43401     53350     47655     -2235      7200
   179    19     3   5.0   261   340     42151     53023     46885     -1590      7075
   180    20     3   5.0   262   341     40901     52560     46125      -850      7055
   181    21     3   5.0   182   262     39661     51789     45400      -510      6670
   182    22     3   6.0   183   183     38286     50856     44630       105      6515
   183    23     3   5.0   184   184     36911     49481     43860       875      6515
   184    24     3   4.0   185   185     35786     48356     43090      1645      6515
   185    25     3   3.0   266   266     34911     47481     42320      2415      6515
   186    26     3   4.0   266   266     34731     47301     41555      3180      6515
   187    27     3   5.0   267   267     34981     47673     40805      3935      6520
   188    28     3   5.0   189   267     34485     48170     40100      4700      6580
   189    29     3   5.0   271   269     33235     48390     39330      5240      6350
   190    30     3   5.0   271   271     32128     48173     38565      5915      6260
   191    31     3   4.0   272   271     31405     47655     37805      6680      6265
   192    32     3   3.0   273   351     30811     47662     37045      7440      6265
   193    33     3   5.0   275   272     30176     48258     36290      8195      6265
   194    34     3   3.0   276   273     29257     48622     35530      8945      6255
   195    35     3   3.0   276   275     28759     48475     34765      8380      4925
   196    36     3   4.0   278   276     28316     48512     34010      9120      4910
   197    37     3   4.0   279   276     27397     48853     33250      9885      4915
   198    38     3   3.0   280   278     26742     48819     32490     10490      4760
   199    39     3   3.0   280   279     26192     48731     31725     11230      4735
   200    40     3   2.0   201   280     25654     48473     30990     11970      4740
   201    41     3   2.0   202   280     25154     48643     30220     12735      4735
   202    42     3   4.0   203   280     24404     49355     29450     13500      4730
   203    43     3   4.0   204   283     23404     49702     28680     12325      2785
   204    44     3   3.0   205   284     22529     49665     27910     13055      2745
   205    45     3   2.0   206   285     21904     49406     27140     13770      2690
   206    46     3   2.0   207   367     21404     49218     26370     14475      2625
   207    47     3   2.0   289   287     20904     49056     25600     15235      2615
   208    48     3   2.0   289   288     20508     49064     24835     15980      2595
   209    49     3   3.0   291   288     20104     49432     24105     16745      2630
   210    50     3   2.0   211   290     19494     49214     23355     17360      2495
   211    51     3   3.0   212   370     18869     49457     22585     18120      2485
   212    52     3   2.0   213   371     18244     49437     21815     18550      2145
   213    53     3   1.0   134   292     17869     49565     21045     19310      2135
   214    54     3   2.0   215   213     17507     49940     20260     20080      2120
   215    55     3   2.0   216   214     17007     50440     19490     20850      2120
   216    56     3   2.0   297   134     16507     50927     18720     21635      2135
   217    57     3   2.0   299   216     16174     51427     17965     22405      2150
   218    58     3   2.0   299   137     15773     51744     17200     23200      2180
   219    59     3   4.0   220   137     15674     52456     16455     23975      2210
   220    60     3   3.0   221   299     14799     52976     15685     24685      2150
   221    61     3   3.0   222   299     14049     53495     14915     25450      2145
   222    62     3   2.0   143   300     13424     54010     14145     26210      2135
   223    63     3   4.0   145   222     13236     54760     13340     26980      2100
   224    64     3   4.0   146   223     12456     55760     12550     27750      2080
   225    65     3   3.0   146   143     11716     56456     11775     28535      2090
   226    66     3   4.0   148   144     11316     57220     10970     29315      2065
   227    67     3   3.0   149   145     10502     57970     10185     30095      2060
   228    68     3   3.0   149   146      9864     58581      9410     30875      2065
   229    69     3   3.0   151   309      9317     58741      8600     29830       210
   230    70     3   3.0   151   389      8716     58918      7825     30590       195
   231    71     3   4.0   152   390      8379     59307      7040     31340       160
   232    72     3   4.0   154   311      7677     59820      6240     32100       120
   233    73     3   5.0   234   312      6758     60743      5430     32855        65
   234    74     3   5.0   235   313      5508     61677      4660     33605        45
   235    75     3   3.0   236   313      4508     62323      3890     34370        40
   236    76     3   4.0   158   314      3633     63183      3120     35130        30
   237    77     3   3.0   158   236      2784     64058      2345     35900        25
   238    78     3   5.0   159   237      2474     65058      1560     36670        10
   239    79     3   4.0   159   238      1951     66183       785     37440         5
   240    80     3   4.0   160   158      1875     67095         0     38230        10
   241     1     4   6.0   242   321     59393     63742     58560     -8420     11920
   242     2     4   6.0   243   243     57893     62721     57800    -13365      6215
   243     3     4   4.0   244   244     56643     61471     57040    -12605      6215
   244     4     4   3.0   326   326     55768     60596     56280    -11845      6215
   245     5     4   4.0   327   327     55043     59871     55545    -11110      6215
   246     6     4   4.0   327   327     54221     59049     54790    -10355      6215
   247     7     4   4.0   328   328     53429     58257     54045     -9610      6215
   248     8     4   5.0   409   409     53086     57914     53295     -8860      6215
   249     9     4   5.0   331   330     52221     57199     52680     -8165      6295
   250    10     4   5.0   331   331     51244     56257     51925     -7870      5835
   251    11     4   3.0   173   333     50463     55528     53160     -7165      7775
   252    12     4   3.0   174   333     49728     54825     52390     -6410      7760
   253    13     4   4.0   254   414     48981     54568     51435     -5660      7555
   254    14     4   4.0   255   415     47981     53886     50675     -4930      7525
   255    15     4   4.0   256   335     46981     53466     49915     -4180      7515
   256    16     4   4.0   257   417     45981     53117     49155     -3530      7405
   257    17     4   6.0   258   418     44731     52962     48395     -2800      7375
   258    18     4   5.0   259   339     43356     52199     47635     -2230      7185
   259    19     4   6.0   260   420     41981     51791     46875     -1485      7170
   260    20     4   5.0   261   421     40606     51324     46115      -840      7055
   261    21     4   5.0   262   341     39356     51015     45355       -90      7045
   262    22     4   5.0   263   343     38106     50006     44595       255      6630
   263    23     4   5.0   264   344     36856     49089     43835       985      6600
   264    24     4   4.0   265   425     35731     48122     43075      1735      6590
   265    25     4   4.0   266   266     34731     47301     42315      2420      6515
   266    26     4   2.0   347   347     33981     46551     41555      3180      6515
   267    27     4   4.0   348   347     33856     46548     40805      3935      6520
   268    28     4   6.0   349   427     33407     47114     40055      4685      6520
   269    29     4   6.0   350   349     32876     47015     39305      5240      6325
   270    30     4   5.0   271   429     31735     47067     38560      5990      6330
   271    31     4   2.0   272   351     30860     46905     37800      6680      6260
   272    32     4   2.0   273   431     30360     47037     37040      7430      6250
   273    33     4   3.0   274   352     29735     47531     36280      8180      6240
   274    34     4   3.0   275   354     28985     47978     35520      7655      4955
   275    35     4   2.0   276   355     28360     47850     34760      8380      4920
   276    36     4   2.0   277   356     27860     47762     34000      9120      4900
   277    37     4   4.0   278   356     27110     48322     33240      9875      4895
   278    38     4   2.0   279   358     26360     48194     32480     10490      4750
   279    39     4   2.0   280   359     25860     48106     31720     11230      4730
   280    40     4   1.0   281   439     25485     48098     30960     11970      4710
   281    41     4   2.0   282   360     25110     48462     30200     12720      4700
   282    42     4   3.0   204   443     24485     48908     29440     11575      2795
   283    43     4   4.0   205   363     23720     48702     28670     12325      2775
   284    44     4   4.0   206   364     22941     48790     27900     13055      2735
   285    45     4   3.0   206   365     22287     48781     27135     13770      2685
   286    46     4   3.0   287   287     21661     49181     26350     14475      2605
   287    47     4   3.0   288   367     20911     48431     25590     15235      2605
   288    48     4   2.0   289   447     20286     48564     24830     15980      2590
   289    49     4   2.0   370   370     19786     48900     24070     16605      2455
   290    50     4   2.0   291   370     19347     48714     23335     17360      2475
   291    51     4   2.0   213   371     18847     48834     22575     17790      2145
   292    52     4   2.0   213   371     18414     49020     21810     18545      2135
   293    53     4   2.0   214   292     18214     49520     21025     19305      2110
   294    54     4   3.0   215   293     17890     50145     20255     20065      2100
   295    55     4   3.0   296   213     17196     50822     19475     20840      2095
   296    56     4   3.0   297   215     16446     51323     18715     21615      2110
   297    57     4   1.0   298   216     15946     51488     17955     22400      2135
   298    58     4   2.0   299   297     15571     51863     17195     23160      2135
   299    59     4   1.0   300   298     15196     52238     16435     23920      2135
   300    60     4   2.0   222   299     14821     52613     15675     24680      2135
   301    61     4   3.0   222   300     14323     53238     14910     25440      2130
   302    62     4   3.0   222   301     14049     53988     14145     26200      2125
   303    63     4   3.0   225   302     13532     54738     13305     26960      2045
   304    64     4   3.0   225   303     12792     55488     12540     27720      2040
   305    65     4   3.0   227   304     12318     56238     11715     28480      1975
   306    66     4   3.0   227   305     11593     56988     10950     29240      1970
   307    67     4   4.0   228   306     11101     57863     10175     30000      1955
   308    68     4   4.0   389   467     10505     58105      9175     29095        50
   309    69     4   4.0   230   389      9953     57866      8590     29830       200
   310    70     4   4.0   230   390      9591     58116      7825     30580       185
   311    71     4   4.0   312   390      8729     58406      6930     31335        45
   312    72     4   4.0   313   390      7729     59168      6170     32090        40
   313    73     4   4.0   314   391      6729     60087      5410     32840        30
   314    74     4   4.0   236   313      5729     61087      4650     33600        30
   315    75     4   4.0   237   314      4880     62087      3875     34360        15
   316    76     4   4.0   237   394      4037     62962      3110     35090        20
   317    77     4   4.0   237   395      3659     63837      2345     35840        35
   318    78     4   6.0   159   317      3591     65087      1555     36600        65
   319    79     4   3.0   239   398      2826     65900       785     37335       100
   320    80     4   4.0   240   398      2875     66712         0     38090       130
   321     1     5   4.0   403   482     59091     62492     58470     -8420     11830
   322     2     5   6.0   323   483     57922     62536     57740     -7700     11820
   323     3     5   4.0   405   405     56672     61500     56990    -12555      6215
   324     4     5   4.0   406   406     55672     60500     56250    -11815      6215
   325     5     5   4.0   407   407     54672     59500     55510    -11075      6215
   326     6     5   4.0   408   408     53672     58500     54770    -10335      6215
   327     7     5   4.0   409   409     52807     57635     54035     -9600      6215
   328     8     5   4.0   409   409     52000     56828     53290     -8855      6215
   329     9     5   5.0   490   490     51576     56404     52550     -8115      6215
   330    10     5   4.0   412   411     50689     55593     51915     -7410      6285
   331    11     5   3.0   412   412     49846     54859     51170     -7115      5835
   332    12     5   4.0   413   413     49457     54470     50435     -6380      5835
   333    13     5   4.0   414   414     48559     53572     49710     -5655      5835
   334    14     5   6.0   495   495     47942     52955     48970     -4915      5835
   335    15     5   5.0   417   415     47162     52341     48450     -4180      6050
   336    16     5   6.0   417   497     46048     52122     47705     -3505      5980
   337    17     5   6.0   338   417     44728     51558     48300     -2780      7300
   338    18     5   5.0   339   418     43353     51138     47550     -2050      7280
   339    19     5   5.0   340   500     42103     50416     46800     -1475      7105
   340    20     5   5.0   341   501     40853     50089     46050      -830      7000
   341    21     5   5.0   342   421     39603     49765     45300       -90      6990
   342    22     5   5.0   343   424     38353     49267     44550       265      6595
   343    23     5   5.0   344   424     37103     48239     43800      1010      6590
   344    24     5   5.0   345   425     35853     47337     43050      1740      6570
   345    25     5   4.0   346   425     34728     46747     42300      2485      6565
   346    26     5   3.0   347   427     33853     46197     41550      3190      6520
   347    27     5   2.0   348   427     33228     45798     40800      3935      6515
   348    28     5   3.0   349   427     32603     46181     40050      4680      6510
   349    29     5   2.0   350   429     31978     46015     39300      5240      6320
   350    30     5   2.0   272   429     31478     46289     38550      5985      6315
   351    31     5   2.0   273   431     30992     46405     37790      6680      6250
   352    32     5   2.0   274   431     30522     46648     37030      7425      6235
   353    33     5   3.0   275   432     29897     47033     36270      8155      6205
   354    34     5   3.0   276   434     29257     47228     35510      7655      4945
   355    35     5   3.0   277   435     28647     47225     34750      8380      4910
   356    36     5   2.0   278   515     28037     47262     33990      9120      4890
   357    37     5   4.0   278   518     27451     47621     33235      9750      4765
   358    38     5   4.0   280   438     26882     47444     32470     10490      4740
   359    39     5   3.0   280   518     26192     47481     31715     11230      4725
   360    40     5   2.0   281   439     25832     47740     30955     11965      4700
   361    41     5   4.0   442   442     25672     48466     29905     10850      2535
   362    42     5   4.0   284   442     25037     48104     29410     11595      2785
   363    43     5   3.0   284   443     24194     47827     28655     12325      2760
   364    44     5   4.0   285   444     23540     47790     27890     13055      2725
   365    45     5   4.0   206   445     23081     47906     27130     13770      2680
   366    46     5 999.0     0     0  99999999  99999999         0         0     99999
   367    47     5   3.0   289   526     21183     47681     25580     15235      2595
   368    48     5   3.0   369   447     20475     48087     24815     15975      2570
   369    49     5   3.0   370   449     19725     48403     24065     16615      2460
   370    50     5   1.0   371   449     19225     48339     23315     17360      2455
   371    51     5   1.0   292   451     18975     48459     22565     17790      2135
   372    52     5   3.0   373   451     18632     48916     21710     18535      2025
   373    53     5   2.0   374   451     18007     49466     20960     19280      2020
   374    54     5   2.0   375   452     17507     49966     20210     20020      2010
   375    55     5   2.0   376   453     17007     50452     19460     20760      2000
   376    56     5   2.0   297   454     16507     50952     18710     21500      1990
   377    57     5   2.0   298   457     16278     51333     17950     21480      1210
   378    58     5   3.0   299   537     15934     51576     17190     22220      1190
   379    59     5   4.0   299   458     15821     52079     16435     22960      1175
   380    60     5   4.0   301   458     15529     52959     15665     23705      1150
   381    61     5   3.0   222   300     14961     53528     14905     25435      2120
   382    62     5   3.0   463   300     14427     54150     13580     26190      1550
   383    63     5   3.0   304   382     13868     54900     13295     26940      2015
   384    64     5   4.0   225   543     13532     55750     12535     26165       480
   385    65     5   4.0   467   544     12623     56336     11395     26890        65
   386    66     5   4.0   467   545     11758     56836     10650     27620        50
   387    67     5   4.0   388   467     11200     56899      9920     28345        45
   388    68     5   4.0   389   467     10200     57209      9170     29090        40
   389    69     5   1.0   390   468      9575     57241      8420     29830        30
   390    70     5   1.0   391   389      9325     57491      7670     30580        30
   391    71     5   3.0   313   390      8825     57991      6920     31330        30
   392    72     5   4.0   314   391      7965     58866      6160     32080        20
   393    73     5   4.0   315   392      7116     59866      5385     32830         5
   394    74     5   4.0   316   393      6133     60866      4620     33580        20
   395    75     5   3.0   316   394      5290     61741      3865     34330        25
   396    76     5   4.0   237   395      4880     62616      3105     35080        35
   397    77     5   4.0   317   396      4659     63616      2345     35830        45
   398    78     5   4.0   319   397      4110     64616      1540     36580       100
   399    79     5   4.0   319   398      3701     65616       785     37330       105
   400    80     5   3.0   320   399      3750     66491         0     38080       140
   401     1     6   4.0   402   562     58686     61492     58460     -8400     11840
   402     2     6   5.0   403   482     57561     61242     57720     -7680     11820
   403     3     6   4.0   404   483     56436     60881     56980     -6960     11800
   404     4     6   4.0   405   405     55436     60264     56240    -11805      6215
   405     5     6   4.0   406   406     54436     59264     55500    -11065      6215
   406     6     6   4.0   407   407     53436     58264     54760    -10325      6215
   407     7     6   4.0   408   408     52436     57264     54020     -9585      6215
   408     8     6   4.0   490   490     51436     56264     53280     -8845      6215
   409     9     6   4.0   490   490     50571     55399     52545     -8110      6215
   410    10     6   4.0   492   491     50135     54970     51850     -7390      6240
   411    11     6   4.0   492   492     49313     54195     51115     -6665      6230
   412    12     6   4.0   494   494     48593     53606     50425     -6370      5835
   413    13     6   6.0   494   494     47721     52734     49690     -5635      5835
   414    14     6   6.0   495   495     46760     51773     48965     -4910      5835
   415    15     6   5.0   576   576     46078     51091     48235     -4180      5835
   416    16     6   6.0   498   577     45255     50800     47695     -3490      5985
   417    17     6   5.0   498   578     44088     50183     46960     -2780      5960
   418    18     6   5.0   499   498     43135     49888     46235     -2050      5965
   419    19     6   6.0   501   580     42103     49276     45605     -1455      5930
   420    20     6   6.0   501   500     40973     48717     44870      -735      5915
   421    21     6   6.0   502   501     39914     48390     44160       -90      5850
   422    22     6   6.0   423   502     38714     48110     44520       630      6930
   423    23     6   5.0   424   505     37339     47537     43780      1020      6580
   424    24     6   5.0   346   505     36089     46472     43040      1755      6575
   425    25     6   4.0   347   586     35044     45747     42290      2485      6555
   426    26     6   4.0   427   506     34125     45541     41530      3215      6525
   427    27     6   2.0   349   507     33375     45298     40790      3935      6505
   428    28     6   3.0   350   509     32875     45680     40040      4505      6325
   429    29     6   3.0   350   509     32377     45390     39295      5240      6315
   430    30     6   4.0   431   510     31987     45633     37860      5960      5600
   431    31     6   3.0   432   590     31112     45780     37120      6680      5580
   432    32     6   2.0   433   511     30487     46165     36380      7410      5570
   433    33     6   2.0   514   514     29987     46591     35640      6920      4340
   434    34     6   3.0   356   514     29574     46478     35480      7655      4915
   435    35     6   3.0   517   515     28930     46475     34220      8380      4380
   436    36     6   3.0   518   595     28255     46637     33495      9110      4385
   437    37     6   3.0   518   517     27617     46831     32760      9775      4315
   438    38     6   3.0   359   518     27268     46569     32460     10490      4730
   439    39     6   3.0   440   598     26536     46841     31375     11220      4375
   440    40     6   3.0   441   519     25786     47388     30635     11950      4365
   441    41     6   3.0   523   523     25036     47830     29895     10860      2535
   442    42     6   3.0   523   523     24435     47229     29160     11595      2535
   443    43     6   4.0   525   604     24089     46952     28455     12325      2560
   444    44     6   4.0   526   524     23324     46790     27725     13055      2560
   445    45     6   4.0   527   525     22545     46906     26995     13770      2545
   446    46     6   3.0   527   526     21891     46769     26260     14495      2535
   447    47     6   3.0   448   526     21161     47027     25540     15230      2550
   448    48     6   3.0   449   527     20411     47519     24800     15945      2525
   449    49     6   2.0   370   608     19786     47778     24060     16615      2455
   450    50     6   2.0   371   529     19489     48074     23310     17345      2435
   451    51     6   1.0   371   530     19225     48209     22565     17790      2135
   452    52     6   3.0   453   451     18750     48709     21690     18530      2000
   453    53     6   2.0   375   452     18125     49334     20950     19270      2000
   454    54     6   2.0   376   453     17625     49834     20200     20010      1990
   455    55     6   2.0   376   454     17229     50334     19455     20750      1985
   456    56     6   3.0   297   535     17064     50857     18705     20875      1360
   457    57     6   2.0   377   537     16778     50833     17950     21480      1210
   458    58     6   2.0   378   537     16559     51003     17190     22215      1185
   459    59     6   4.0   300   537     16777     51715     16425     22950      1155
   460    60     6   4.0   461   459     15863     52715     15050     23690       520
   461    61     6   3.0   462   540     14988     53333     14310     24360       450
   462    62     6   4.0   544   540     14113     54198     13570     25095       445
