   20   20
    nn     x     y    ss   oprev dprev   odist     ddist     oarea     darea  tareadiff
   142     2     8   4.0   124   162     19630     12765      2775        10       595
   143     3     8   4.0   125   182     18630     13001      2635       120       565
   144     4     8   4.0   126   183     17769     13237      2495       210       515
   145     5     8   4.0   127   184     16908     13751      2355       240       405
   146     6     8   4.0   128   185     15926     14436      2210       330       350
   147     7     8   4.0   128   186     14996     14794      2085       275       170
   148     8     8   5.0   130   168     13974     15195      1935       300        45
   149     9     8   4.0   130   188     12969     15306      1810       410        30
   150    10     8   4.0   130   169     12628     15810      1685       500         5
   151    11     8   4.0   112   170     12392     16470      1480       600       110
   152    12     8   4.0   132   170     12156     17292      1350       715       125
   153    13     8   4.0   134   152     11557     18292      1130       835       225
   154    14     8   4.0   115   153     10897     19292       990       955       245
   155    15     8   5.0   135   154     10772     20417       860      1075       255
   156    16     8   4.0   117   175     10151     21506       635       805       750
   157    17     8   4.0   118   176      9717     22298       485       910       795
   158    18     8   5.0   138   176      9562     23259       355      1025       810
   159    19     8   6.0   120   158      9839     24634       130      1145       915
   160    20     8   5.0   140   159      9250     26009         0      1265       925
   161     1     9   4.0   143   202     20866     12001      2865       -90       585
   162     2     9   4.0   144   182     20005     11765      2725        10       545
   163     3     9   4.0   145   202     19144     12001      2585       110       505
   164     4     9   4.0   146   203     18301     12376      2440       190       440
   165     5     9   5.0   147   204     17511     12906      2315       230       355
   166     6     9   5.0   147   186     16586     13389      2200       165       175
   167     7     9   5.0   149   206     15484     13684      2040       265       115
   168     8     9   4.0   149   188     14398     14070      1925       300        35
   169     9     9   4.0   130   208     13834     14396      1805       385         0
   170    10     9   4.0   150   189     13628     15056      1685       485        20
   171    11     9   4.0   132   189     13392     16002      1470       590       130
   172    12     9   6.0   153   171     13324     17252      1245       700       245
   173    13     9   6.0   134   172     12643     18752      1125       810       255
   174    14     9   5.0   154   193     12022     19533       990       810       390
   175    15     9   4.0   156   194     11580     20077       750       690       750
   176    16     9   4.0   137   194     10982     20884       615       795       780
   177    17     9   4.0   157   176     10717     21884       485       905       800
   178    18     9   6.0   158   177     10937     23134       355      1015       820
   179    19     9   6.0   140   178     11074     24634       120      1125       945
   180    20     9   5.0   160   179     10500     26009         0      1235       955
   181     1    10   4.0   163   222     21380     11001      2795       -80       525
   182     2    10   4.0   164   202     20537     10765      2650        10       470
   183     3    10   4.0   164   222     19715     11001      2545       100       455
   184     4    10   4.0   165   204     19101     11376      2420       130       360
   185     5    10   5.0   167   224     18279     11781      2250       220       280
   186     6    10   5.0   168   206     17053     12139      2135       165       110
   187     7    10   5.0   168   226     15988     12650      2030       230        70
   188     8    10   4.0   149   227     15205     13070      1920       300        30
   189     9    10   4.0   169   208     14834     13627      1805       380         5
   190    10    10   5.0   170   189     14753     14752      1685       480        25
   191    11    10   6.0   171   210     14642     15844      1470       525       195
   192    12    10   5.0   153   210     14491     16953      1240       620       330
   193    13    10   4.0   154   211     13552     17927      1100       705       385
   194    14    10   4.0   175   213     13009     18648       855       585       750
   195    15    10   4.0   156   194     12387     19648       745       685       760
   196    16    10   5.0   157   195     12092     20773       595       785       810
   197    17    10   6.0   177   196     11967     22148       485       885       820
   198    18    10   6.0   178   197     12437     23648       355       985       850
   199    19    10   4.0   160   219     12045     24534       110       615      1465
   200    20    10   6.0   180   220     11875     24860         0       690      1500
   201     1    11   4.0   183   242     21951     10001      2735       -70       475
   202     2    11   4.0   183   222     21129      9765      2640        10       460
   203     3    11   4.0   184   242     20530     10140      2515        90       415
   204     4    11   5.0   186   224     19848     10251      2325       130       265
   205     5    11   5.0   187   225     18783     10609      2220        85       115
   206     6    11   5.0   187   245     17771     10889      2125       165       100
   207     7    11   6.0   188   246     16972     11540      2015       220        45
   208     8    11   5.0   169   247     16209     12021      1905       285         0
   209     9    11   6.0   189   228     16084     12981      1805       365        20
   210    10    11   6.0   190   229     16128     13739      1685       430        75
   211    11    11   6.0   191   229     16142     14993      1470       515       205
   212    12    11   6.0   193   230     15319     16284      1195       590       405
   213    13    11   5.0   174   232     14537     17042      1090       490       610
   214    14    11   6.0   175   232     14095     18317       850       575       765
   215    15    11   6.0   176   214     13637     19817       715       665       810
   216    16    11   6.0   196   215     13467     21317       595       755       840
   217    17    11   6.0   197   195     13467     22582       485       875       830
   218    18    11   5.0   177   257     13651     23295       385       580      1225
   219    19    11   4.0   199   239     13045     23534       110       615      1465
   220    20    11   4.0   200   240     13125     23610         0       690      1500
   221     1    12   4.0   202   262     22543      9001      2725       -60       475
   222     2    12   4.0   183   242     21951      8765      2635        10       455
   223     3    12   5.0   205   243     21438      9015      2390        60       260
   224     4    12   4.0   205   263     20389      9126      2305       130       245
   225     5    12   5.0   206   245     19538      9359      2210        85       105
   226     6    12   5.0   207   246     18916      9716      2100       140        50
   227     7    12   6.0   188   266     18139     10136      2010       210        30
   228     8    12   6.0   208   247     17584     10891      1905       280         5
   229     9    12   5.0   209   248     17459     11779      1805       345        40
   230    10    12   6.0   210   248     17628     12930      1685       420        85
   231    11    12   6.0   212   250     17424     14237      1280       340       570
   232    12    12   5.0   213   251     16336     15243      1175       405       610
   233    13    12   6.0   213   251     15912     16497      1090       480       620
   234    14    12   6.0   195   252     15461     17966       835       535       820
   235    15    12   6.0   215   253     15137     19466       715       605       870
   236    16    12   5.0   216   254     14842     20826       595       675       920
   237    17    12   5.0   217   276     14842     21881       485       505      1200
   238    18    12   4.0   199   257     14420     22209       200       575      1415
   239    19    12   4.0   219   259     14045     22534       110       615      1465
   240    20    12   3.0   220   259     14000     22735         0       690      1500
   241     1    13   4.0   202   282     23365      8155      2720       -50       480
   242     2    13   4.0   224   262     22764      7765      2455        10       275
   243     3    13   4.0   224   263     21818      7890      2380        60       250
   244     4    13   4.0   225   283     21113      8126      2285       110       205
   245     5    13   4.0   206   265     20426      8234      2205        85       100
   246     6    13   5.0   207   266     20046      8466      2095       140        45
   247     7    13   5.0   208   266     19283      8947      1985       205         0
   248     8    13   5.0   228   266     18959      9996      1905       270        15
   249     9    13   5.0   229   267     18709     11125      1805       325        60
   250    10    13   6.0   230   269     19128     12116      1685       265       240
   251    11    13   6.0   232   269     18296     13283      1250       330       610
   252    12    13   6.0   213   270     17611     14612      1170       385       635
   253    13    13   6.0   233   252     17412     16112      1090       455       645
   254    14    13   6.0   234   253     16961     17612       835       525       830
   255    15    13   6.0   235   273     16637     18970       715       530       945
   256    16    13   5.0   236   274     16092     20172       595       510      1085
   257    17    13   4.0   238   276     15849     20780       275       500      1415
   258    18    13   4.0   219   277     15281     21340       190       555      1445
   259    19    13   3.0   239   278     14920     21659       110       615      1465
   260    20    13   3.0   240   278     14750     22281         0       680      1510
   261     1    14   5.0   243   302     24193      7170      2510       -40       280
   262     2    14   4.0   243   282     23232      6765      2445        10       265
   263     3    14   4.0   244   302     22527      6890      2350        60       220
   264     4    14   4.0   245   284     21855      7201      2270        65       145
   265     5    14   5.0   245   285     21551      7109      2205        85       100
   266     6    14   4.0   247   285     20889      7341      2050       140         0
   267     7    14   5.0   228   285     20518      8330      1975       195        20
   268     8    14   5.0   248   286     20209      9547      1905       235        50
   269     9    14   4.0   249   288     19834     10349      1805       200       185
   270    10    14   5.0   251   288     20256     11398      1315       255       620
   271    11    14   6.0   232   270     19550     12773      1245       315       630
   272    12    14   6.0   252   271     19111     14273      1170       375       645
   273    13    14   6.0   234   291     18815     15616       905       400       885
   274    14    14   6.0   254   292     18461     16958       835       380       975
   275    15    14   6.0   236   274     17916     18458       665       440      1085
   276    16    14   4.0   256   295     17217     19366       595       435      1160
   277    17    14   3.0   278   295     16460     20119       235       490      1465
   278    18    14   2.0   259   277     15835     20744       175       550      1465
   279    19    14   3.0   259   278     15670     21369       110       610      1470
   280    20    14   2.0   260   279     15375     21994         0       670      1520
   281     1    15   5.0   262   322     24838      6030      2500       -30       280
   282     2    15   5.0   263   302     24102      5640      2405        10       225
   283     3    15   4.0   264   322     23269      5890      2325        50       185
   284     4    15   4.0   285   323     22746      6201      2155        65        30
   285     5    15   2.0   266   324     21996      6234      2105        85         0
   286     6    15   4.0   247   305     21798      6892      2045       125        20
   287     7    15   5.0   248   305     21754      7907      1965       170        55
   288     8    15   5.0   249   307     21364      8743      1865       145       180
   289     9    15   5.0   269   307     20959      9792      1805       190       195
   290    10    15   6.0   249   289     21504     11167      1745       240       205
   291    11    15   5.0   252   290     20825     12542      1230       290       670
   292    12    15   5.0   272   310     20486     13744      1170       270       750
   293    13    15   6.0   254   292     20315     15119       895       320       975
   294    14    15   6.0   274   293     19961     16619       835       370       985
   295    15    15   5.0   277   313     18835     17744       345       380      1465
   296    16    15   5.0   277   314     17905     18855       290       420      1480
   297    17    15   6.0   278   296     17233     20230       230       470      1490
   298    18    15   4.0   278   277     16585     21372       175       545      1470
   299    19    15   4.0   280   278     16420     21820        55       605      1530
   300    20    15   2.0   280   279     15875     22268         0       665      1525
   301     1    16   5.0   283   321     25784      5000      2415         0       225
   302     2    16   4.0   283   322     24714      4515      2370        10       190
   303     3    16   5.0   285   342     24092      4890      2195        40        45
   304     4    16   4.0   285   343     23072      5240      2150        50        10
   305     5    16   3.0   285   324     22621      5671      2105        80         5
   306     6    16   4.0   286   324     22798      6514      2045       115        30
   307     7    16   4.0   268   326     22864      7137      1955       100       135
   308     8    16   5.0   269   326     22489      8223      1855       135       200
   309     9    16   6.0   289   327     22334      9501      1805       160       225
   310    10    16   6.0   271   328     22764     10810      1295       180       715
   311    11    16   5.0   272   329     22045     12060      1220       210       760
   312    12    16   6.0   292   311     21861     13435      1170       250       770
   313    13    16   5.0   274   312     21675     14810       885       290      1015
   314    14    16   5.0   295   313     20618     16060       390       330      1470
   315    15    16   5.0   296   314     19688     17310       335       370      1485
   316    16    16   6.0   277   315     19255     18685       285       410      1495
   317    17    16   5.0   298   316     18207     20060       220       450      1520
   318    18    16   5.0   298   336     17710     21141       175       420      1595
   319    19    16   4.0   300   337     16935     21986        45       450      1695
   320    20    16   2.0   300   338     16375     22567         0       480      1710
   321     1    17   5.0   302   341     26304      3750      2405         0       215
   322     2    17   4.0   304   342     25447      3515      2220        10        40
   323     3    17   4.0   304   362     24501      3826      2185        25        20
   324     4    17   4.0   285   343     23812      4418      2145        45         0
   325     5    17   4.0   305   344     23496      5187      2105        50        35
   326     6    17   4.0   306   345     23798      5708      2045        65        80
   327     7    17   5.0   307   345     23989      6567      1955        90       145
   328     8    17   5.0   308   346     23739      7736      1855       110       225
   329     9    17   5.0   309   328     23709      8986      1805       140       245
   330    10    17   6.0   291   329     23899     10361      1270       170       750
   331    11    17   6.0   311   330     23420     11861      1220       200       770
   332    12    17   6.0   312   331     23361     13361      1170       230       790
   333    13    17   5.0   314   332     22385     14736       425       260      1505
   334    14    17   5.0   315   333     21455     15986       370       290      1530
   335    15    17   5.0   296   334     20839     17236       330       320      1540
   336    16    17   5.0   317   335     19974     18486       255       350      1585
   337    17    17   4.0   298   336     19100     19611       215       380      1595
   338    18    17   4.0   320   337     18331     20611        70       410      1710
   339    19    17   4.0   320   338     17451     21611        35       440      1715
   340    20    17   3.0   320   339     17000     22486         0       470      1720
   341     1    18   5.0   323   361     26876      2500      2235         0        45
   342     2    18   4.0   323   381     25915      2515      2210        10        30
   343     3    18   4.0   324   362     25226      3004      2170        20         0
   344     4    18   4.0   305   363     24717      3789      2135        25        30
   345     5    18   3.0   325   363     24371      4471      2105        40        45
   346     6    18   3.0   305   345     24577      5221      2075        60        55
   347     7    18   5.0   327   346     25239      6221      1955        80       155
   348     8    18   5.0   328   347     24989      7471      1855       100       235
   349     9    18   6.0   329   348     25084      8846      1805       120       265
   350    10    18   6.0   311   349     25259     10346      1250       140       800
   351    11    18   6.0   331   350     24920     11846      1220       160       810
   352    12    18   6.0   333   351     24345     13346       450       180      1560
   353    13    18   6.0   334   352     23399     14846       395       200      1595
   354    14    18   6.0   315   353     22622     16346       365       220      1605
   355    15    18   4.0   336   333     21611     17531       280       310      1600
   356    16    18   7.0   337   355     21028     18906       240       330      1620
   357    17    18   5.0   338   336     19937     20269        95       375      1720
   358    18    18   6.0   339   336     19187     21281        60       400      1730
   359    19    18   4.0   320   338     18191     22056        30       435      1725
   360    20    18   4.0   340   338     17875     22847         0       460      1730
   361     1    19   5.0   342   381     27505      1250      2225         0        35
   362     2    19   4.0   343   381     26640      1590      2185         5         0
   363     3    19   4.0   324   381     26048      2375      2165        10        15
   364     4    19   4.0   325   382     25592      3361      2125        10        55
   365     5    19   4.0   345   364     25246      4361      2105        20        65
   366     6    19   4.0   325   365     25452      5361      2085        30        75
   367     7    19   5.0   346   366     26006      6486      2060        40        90
   368     8    19   6.0   348   367     26364      7861      1855        50       285
   369     9    19   6.0   349   347     26584      9295      1805       110       275
   370    10    19   6.0   350   348     26759     10685      1250       130       810
   371    11    19   6.0   351   370     26420     12185      1220       140       830
   372    12    19   6.0   353   371     25520     13685       410       150      1630
   373    13    19   6.0   334   372     24669     15185       390       160      1640
   374    14    19   6.0   355   373     23394     16685       295       170      1725
   375    15    19   5.0   376   353     22715     18060       120       230      1840
   376    16    19   4.0   357   394     21590     18899       110       160      1920
   377    17    19   6.0   359   395     21265     20039        60       160      1970
   378    18    19   6.0   359   396     19990     21458        45       160      1985
   379    19    19   6.0   340   397     19375     22723        20       160      2010
   380    20    19   4.0   360   359     18875     23501         0       450      1740
   381     1    20   5.0   362     0     28230         0      2190         0         0
   382     2    20   4.0   343   381     27462      1125      2180         0        10
   383     3    20   4.0   344   382     26953      2125      2145         0        45
   384     4    20   5.0   345   383     26607      3250      2115         0        75
   385     5    20   5.0   365   384     26371      4500      2105         0        85
   386     6    20   5.0   366   385     26577      5750      2085         0       105
   387     7    20   5.0   346   365     26952      6876      2065        30        95
   388     8    20   6.0   368   366     27864      8156      1855        40       295
   389     9    20   6.0   369   388     28084      9656      1805        40       345
   390    10    20   6.0   370   389     28259     11156      1250        40       900
   391    11    20   6.0   372   369     27641     12649       415       120      1655
   392    12    20   6.0   393   370     26465     14039       120       140      1930
   393    13    20   5.0   394   371     25090     15399       120       150      1920
   394    14    20   4.0   376   393     23965     16524       120       150      1920
   395    15    20   4.0   376   394     23019     17524       115       150      1925
   396    16    20   4.0   376   395     22590     18524       110       150      1930
   397    17    20   5.0   378   396     21934     19649        50       150      1990
   398    18    20   5.0   359   397     21125     20899        40       150      2000
   399    19    20   5.0   380   398     20497     22149         5       150      2035
   400    20    20   5.0   380   399     20000     23399         0       150      2040
